frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,-43.0671501159668,20.81009864807129,1,0.0,60.0,4,0,5.695110321044922,9.999999747378752e-05,-1,0.0,60.0,4,0,8,True
120,-56.78364181518555,-3.663158893585205,-1,0.0,60.0,4,0,-9.583906173706055,27.83009910583496,-1,0.0,60.0,4,0,8,True
180,-57.50912094116211,5.392712116241455,-1,0.0,60.0,4,0,-39.4713249206543,-0.056425705552101135,-1,0.0,57.69001007080078,4,0,8,True
240,-34.071022033691406,18.408702850341797,-1,0.0,60.0,4,0,-39.47572326660156,13.340100288391113,-1,0.0,60.0,4,0,8,True
300,-11.940657615661621,21.02629280090332,-1,12.0,60.0,4,0,-17.993967056274414,41.130088806152344,1,0.0,60.0,4,0,8,True
360,21.81290054321289,9.999999747378752e-05,-1,19.459999084472656,60.0,4,0,27.493526458740234,-8.690587997436523,-1,0.0,60.0,4,0,8,True
420,39.36251449584961,-0.03375702723860741,-1,19.459999084472656,60.0,4,0,43.4044189453125,-0.8758204579353333,-1,10.0,60.0,4,0,8,True
480,34.15374755859375,58.07493591308594,1,26.919998168945312,60.0,4,0,34.105865478515625,42.73410415649414,-1,10.0,60.0,4,0,8,True
540,93.04127502441406,124.25736236572266,-1,43.75,60.0,4,0,70.70248413085938,78.32810974121094,1,10.0,60.0,4,0,8,True
600,69.40699768066406,77.90159606933594,-1,43.75,60.0,4,0,30.968111038208008,3.0000975131988525,1,10.0,59.86000061035156,4,0,8,True
660,18.20802879333496,76.91361236572266,-1,43.75,60.0,4,0,27.869544982910156,7.130100250244141,1,10.0,60.0,4,0,8,True
720,50.091941833496094,35.26366424560547,1,43.75,60.0,4,0,21.143619537353516,9.999999747378752e-05,-1,10.0,60.0,4,0,8,True
780,51.197872161865234,6.236095428466797,1,43.75,60.0,4,0,1.8624022006988525,9.999999747378752e-05,-1,10.0,60.0,4,0,8,True
840,51.8705940246582,17.146099090576172,-1,43.75,60.0,4,0,40.118690490722656,23.450098037719727,1,10.0,59.43143081665039,4,0,8,True
900,-11.874290466308594,43.15937805175781,1,58.75,60.0,4,0,27.4501953125,9.999999747378752e-05,1,10.0,47.18387985229492,4,0,8,True
960,-45.441864013671875,23.450098037719727,1,61.75,60.0,4,0,-18.01506805419922,9.999999747378752e-05,-1,10.0,51.38386154174805,4,0,8,True
1020,-64.52936553955078,-6.304811477661133,-1,61.75,60.0,4,0,-20.35342788696289,23.000099182128906,-1,10.0,55.58384323120117,4,0,8,True
1080,-60.71921920776367,7.478996276855469,-1,61.75,60.0,4,0,-15.697721481323242,9.999999747378752e-05,1,10.0,57.6134033203125,4,0,8,True
1140,-61.65919494628906,28.972986221313477,-1,61.75,60.0,4,0,-19.474218368530273,13.340100288391113,-1,10.0,60.0,4,0,8,True
1200,1.4754594564437866,3.8329832553863525,1,61.75,60.0,4,0,-10.371106147766113,38.97457504272461,-1,19.0,60.0,4,0,8,True
1260,106.37100982666016,32.332115173339844,-1,75.55000305175781,60.0,4,0,44.28192901611328,24.840099334716797,1,19.0,60.0,4,0,8,True
1320,81.92329406738281,30.351879119873047,-1,79.31000518798828,60.0,4,0,32.2808837890625,9.999999747378752e-05,1,19.0,60.0,4,0,8,True
1380,53.8012580871582,-3.0418288707733154,-1,79.31000518798828,60.0,4,0,16.198575973510742,9.999999747378752e-05,-1,19.0,60.0,4,0,8,True
1440,45.56529235839844,31.82027816772461,-1,79.31000518798828,60.0,4,0,-0.28726232051849365,9.999999747378752e-05,1,19.0,60.0,4,0,8,True
1500,3.887559413909912,5.3716912269592285,1,79.31000518798828,60.0,4,0,20.508544921875,0.630098819732666,-1,32.0,60.0,4,0,8,True
1560,-5.842263698577881,9.030097961425781,1,79.31000518798828,60.0,4,0,-11.271939277648926,9.999999747378752e-05,-1,32.0,60.0,4,0,8,True
1620,-96.45543670654297,28.754995346069336,1,85.31000518798828,60.0,4,0,-28.471988677978516,9.999999747378752e-05,-1,32.0,60.0,4,0,8,True
1680,-88.38959503173828,21.66022491455078,1,85.31000518798828,60.0,4,0,-42.888492584228516,23.45009994506836,1,32.0,60.0,4,0,8,True
1740,-60.70000076293945,-12.899999618530273,1,85.31000518798828,60.0,4,0,-17.086034774780273,9.999999747378752e-05,-1,32.0,60.0,4,0,8,True
1800,-45.58538818359375,-1.3301891088485718,1,85.31000518798828,60.0,4,0,-38.40422821044922,23.450098037719727,-1,32.0,60.0,4,0,8,True
1860,-39.388916015625,-0.03925742208957672,1,85.31000518798828,52.300010681152344,4,0,-43.488426208496094,31.232275009155273,-1,43.0,60.0,4,0,8,True
1920,-39.388916015625,29.376739501953125,1,85.31000518798828,56.49999237060547,4,0,-85.10899353027344,40.982032775878906,1,71.0,60.0,4,0,8,True
1980,-39.388916015625,23.450098037719727,1,85.31000518798828,60.0,4,0,-181.1240234375,64.65806579589844,1,71.0,60.0,3,0,8,True
2040,-39.388916015625,23.450098037719727,1,85.31000518798828,60.0,4,0,0.0,65.66001892089844,-1,0.0,60.0,3,0,8,True
2100,-39.388916015625,23.450098037719727,1,85.31000518798828,60.0,4,0,-32.59832000732422,9.999999747378752e-05,-1,0.0,60.0,3,0,8,True
2160,-48.27728271484375,109.63748168945312,1,98.31000518798828,60.0,4,0,-41.4925651550293,23.450098037719727,-1,0.0,60.0,3,0,8,True
2220,-55.43812942504883,135.6924285888672,1,98.31000518798828,60.0,4,0,-3.0123138427734375,15.950102806091309,-1,0.0,60.0,3,0,8,True
2280,-55.43812942504883,90.54411315917969,1,98.31000518798828,60.0,4,0,5.4489850997924805,42.000099182128906,1,0.0,60.0,3,0,8,True
2340,-55.43812942504883,70.97984313964844,1,98.31000518798828,60.0,3,0,10.07845687866211,9.999999747378752e-05,1,0.0,60.0,3,0,8,True
