frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,-30.618270874023438,9.999999747378752e-05,-1,8.220000267028809,60.0,4,0,29.37063980102539,7.020099639892578,-1,0.0,60.0,4,0,8,True
120,17.726421356201172,6.400095462799072,1,8.220000267028809,60.0,4,0,36.77801513671875,31.28009796142578,-1,0.0,60.0,4,0,8,True
180,-22.227779388427734,7.010097026824951,-1,8.220000267028809,60.0,4,0,-13.873388290405273,20.086467742919922,-1,0.0,60.0,4,0,8,True
240,-15.11027717590332,9.999999747378752e-05,-1,8.220000267028809,60.0,4,0,-38.16315460205078,29.446292877197266,1,11.0,60.0,4,0,8,True
300,-55.31793212890625,36.052101135253906,-1,8.220000267028809,60.0,4,0,-62.18012619018555,21.11009979248047,1,13.0,60.0,4,0,8,True
360,-59.5,23.44999885559082,-1,8.220000267028809,60.0,4,0,-58.18156433105469,-17.81281280517578,1,13.0,60.0,4,0,8,True
420,-40.29751205444336,8.404296875,1,8.220000267028809,60.0,4,0,-16.162200927734375,9.999999747378752e-05,1,13.0,60.0,4,0,8,True
480,-28.23488426208496,9.999999747378752e-05,-1,10.5,60.0,4,0,22.809803009033203,9.999999747378752e-05,-1,13.0,60.0,4,0,8,True
540,-0.01862207055091858,9.999999747378752e-05,-1,10.5,60.0,4,0,-9.368924140930176,-2.751215934753418,-1,13.0,60.0,4,0,8,True
600,1.5072779655456543,24.266098022460938,-1,10.5,60.0,4,0,13.305887222290039,17.686561584472656,-1,51.119998931884766,60.0,4,0,8,True
660,2.0642781257629395,9.999999747378752e-05,-1,10.5,60.0,4,0,177.820068359375,64.09424591064453,-1,51.119998931884766,60.0,3,0,8,True
720,2.0642781257629395,9.999999747378752e-05,-1,10.5,60.0,4,0,0.0,90.88339233398438,-1,0.0,60.0,3,0,8,True
780,3.8642778396606445,9.999999747378752e-05,-1,10.5,60.0,4,0,-1.7999999523162842,9.999999747378752e-05,-1,0.0,60.0,3,0,8,True
840,-13.856345176696777,40.06235885620117,-1,28.049999237060547,60.0,4,0,-13.939748764038086,21.160099029541016,-1,0.0,60.0,3,0,8,True
900,20.0500431060791,114.3135986328125,-1,38.84000015258789,60.0,4,0,-12.780117988586426,41.490089416503906,-1,0.0,60.0,3,0,8,True
960,61.684410095214844,28.907726287841797,-1,38.84000015258789,60.0,4,0,27.424232482910156,9.999999747378752e-05,-1,0.0,60.0,3,0,8,True
1020,53.4080696105957,23.450098037719727,-1,38.84000015258789,57.6878662109375,4,0,19.35959815979004,23.000099182128906,-1,0.0,60.0,3,0,8,True
1080,40.80133056640625,23.450098037719727,-1,38.84000015258789,59.087860107421875,4,1,27.525100708007812,9.999999747378752e-05,-1,0.0,60.0,3,0,8,True
1140,50.222835540771484,2.058096408843994,-1,38.84000015258789,60.0,4,0,27.525100708007812,9.999999747378752e-05,-1,0.0,60.0,3,0,8,True
1200,45.44941711425781,69.56362915039062,-1,50.84000015258789,60.0,4,0,47.68009948730469,23.000099182128906,1,0.0,60.0,3,0,8,True
1260,20.665773391723633,63.121864318847656,1,55.09000015258789,60.0,4,0,23.407196044921875,4.466116905212402,1,0.0,60.0,3,0,8,True
1320,41.113895416259766,3.7300972938537598,1,55.09000015258789,60.0,4,0,23.288558959960938,9.999999747378752e-05,1,12.0,60.0,3,0,8,True
1380,49.05710983276367,-2.053464651107788,-1,55.09000015258789,59.58000183105469,4,0,22.49201011657715,9.999999747378752e-05,1,12.0,60.0,3,0,8,True
1440,51.46435546875,23.450098037719727,-1,55.09000015258789,56.78001403808594,4,0,18.022703170776367,9.999999747378752e-05,-1,12.0,60.0,3,0,8,True
1500,10.171889305114746,13.782097816467285,-1,55.09000015258789,60.0,4,0,31.760116577148438,9.999999747378752e-05,1,25.0,60.0,3,0,8,True
1560,-15.687836647033691,24.802532196044922,1,61.09000015258789,60.0,4,0,32.6859130859375,9.999999747378752e-05,1,25.0,60.0,3,0,8,True
1620,-50.56128692626953,23.450098037719727,1,61.09000015258789,60.0,4,0,-3.8399646282196045,9.999999747378752e-05,-1,25.0,60.0,3,0,8,True
1680,-50.56128692626953,23.450098037719727,1,61.09000015258789,54.4000244140625,4,0,-44.60646057128906,51.330265045166016,-1,25.0,60.0,3,0,8,True
1740,-37.82402801513672,136.09750366210938,-1,71.62000274658203,51.950035095214844,4,0,-59.5,23.450098037719727,-1,25.0,60.0,3,0,8,True
1800,-61.26557159423828,159.57862854003906,-1,72.62000274658203,56.15001678466797,4,0,17.019729614257812,41.31010055541992,1,25.0,60.0,3,0,8,True
1860,-53.28835678100586,64.06083679199219,-1,72.62000274658203,60.0,4,0,-15.629072189331055,9.999999747378752e-05,-1,25.0,60.0,3,0,8,True
1920,-60.05207061767578,4.486860752105713,-1,72.62000274658203,60.0,4,0,-16.937828063964844,9.999999747378752e-05,-1,25.0,60.0,3,0,8,True
1980,-46.60691833496094,23.450098037719727,1,72.62000274658203,60.0,4,0,1.066512107849121,9.999999747378752e-05,-1,25.0,60.0,3,0,8,True
2040,-5.284449577331543,13.424699783325195,1,90.62000274658203,60.0,4,0,1.259658694267273,9.999999747378752e-05,-1,25.0,60.0,3,0,8,True
2100,-105.90095520019531,152.93939208984375,1,90.62000274658203,60.0,4,0,7.490556240081787,42.000099182128906,-1,25.0,60.0,3,0,8,True
2160,-105.90095520019531,107.40655517578125,1,90.62000274658203,60.0,4,0,36.30724334716797,19.65743637084961,-1,25.0,60.0,3,0,8,True
2220,-105.90095520019531,70.98028564453125,1,90.62000274658203,60.0,3,0,9.83782958984375,9.999999747378752e-05,1,25.0,60.0,3,0,8,True
2280,0.0,88.69004821777344,-1,0.0,60.0,3,0,0.022097349166870117,9.999999747378752e-05,1,25.0,60.0,3,0,8,True
2340,-4.538500785827637,15.636014938354492,-1,0.0,60.0,3,0,-22.286653518676758,9.999999747378752e-05,1,25.0,60.0,3,0,8,True
2400,0.40113016963005066,9.999999747378752e-05,-1,0.0,60.0,3,0,-56.0,-3.4999001026153564,1,25.0,54.750022888183594,3,0,8,True
2460,-44.11762619018555,-1.0244051218032837,1,0.0,60.0,3,0,-57.83726501464844,-4.585163593292236,1,25.0,45.58003616333008,3,0,8,True
2520,-38.9526252746582,9.999999747378752e-05,1,0.0,60.0,3,0,-57.91999816894531,-34.756656646728516,1,25.0,49.7800178527832,3,0,8,True
2580,-23.402246475219727,7.360092639923096,1,0.0,60.0,3,0,-57.91999816894531,-17.899999618530273,1,25.0,53.97999954223633,3,0,8,True
