frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
15,20.356769561767578,11.240097045898438,1,0.0,60.0,4,0,30.282743453979492,9.999999747378752e-05,1,0.0,60.0,4,0,3,False
30,8.968442916870117,4.648099899291992,1,5.0,60.0,4,0,46.752750396728516,9.999999747378752e-05,-1,0.0,60.0,4,0,3,False
45,-19.944034576416016,9.999999747378752e-05,1,5.0,60.0,4,0,51.29024887084961,9.999999747378752e-05,-1,0.0,60.0,4,0,3,False
60,-36.28950881958008,9.999999747378752e-05,1,5.0,60.0,4,0,51.29024887084961,9.999999747378752e-05,-1,0.0,60.0,4,0,3,False
75,-41.45135498046875,9.999999747378752e-05,1,5.0,60.0,4,0,20.953990936279297,9.999999747378752e-05,-1,0.0,60.0,4,0,3,False
90,-62.09153747558594,9.999999747378752e-05,1,5.0,60.0,4,0,-11.633506774902344,9.999999747378752e-05,-1,0.0,60.0,4,0,3,False
105,-65.80199432373047,9.999999747378752e-05,1,5.0,60.0,4,0,-41.783512115478516,5.610099792480469,-1,0.0,60.0,4,0,3,False
120,-75.82999420166016,4.331538200378418,1,17.0,60.0,4,0,-55.82351303100586,10.020099639892578,-1,0.0,60.0,4,0,3,False
135,-88.00033569335938,4.606575012207031,1,17.0,60.0,4,0,-72.92351531982422,9.999999747378752e-05,-1,0.0,60.0,4,0,3,False
150,-87.00428771972656,18.20827293395996,1,17.0,60.0,4,0,-75.16352081298828,9.999999747378752e-05,-1,0.0,60.0,4,0,3,False
165,-67.29423522949219,23.758268356323242,1,17.0,60.0,4,0,-66.65852355957031,9.999999747378752e-05,1,0.0,60.0,4,0,3,False
180,-47.550479888916016,14.908265113830566,1,17.0,60.0,4,0,-61.07102584838867,9.999999747378752e-05,-1,0.0,60.0,4,0,3,False
195,-36.619224548339844,2.1162633895874023,1,17.0,60.0,4,0,-61.83284378051758,1.3351374864578247,1,12.0,60.0,4,0,3,False
210,-31.82798194885254,9.999999747378752e-05,1,17.0,60.0,4,0,-62.194984436035156,9.999999747378752e-05,1,12.0,60.0,4,0,3,False
225,-19.801898956298828,9.999999747378752e-05,1,17.0,60.0,4,0,-36.08247756958008,10.650099754333496,1,12.0,60.0,4,0,3,False
240,-10.743069648742676,9.999999747378752e-05,1,17.0,54.12000274658203,4,0,-20.86247444152832,9.999999747378752e-05,1,12.0,60.0,4,0,3,False
255,-8.169068336486816,9.999999747378752e-05,1,17.0,50.20001983642578,4,0,-15.142468452453613,9.999999747378752e-05,1,12.0,60.0,4,0,3,False
270,-17.405399322509766,37.1667594909668,-1,19.0,50.90001678466797,4,0,-15.142468452453613,9.999999747378752e-05,1,12.0,60.0,4,0,3,False
285,-20.685569763183594,55.02097702026367,-1,24.459999084472656,51.95001220703125,4,0,-15.142468452453613,9.999999747378752e-05,1,12.0,60.0,4,0,3,False
300,-22.826974868774414,56.99284362792969,-1,24.459999084472656,53.00000762939453,4,0,-15.859468460083008,47.61009979248047,1,12.0,60.0,4,0,3,False
315,-33.30705261230469,81.22808837890625,1,41.290000915527344,54.05000305175781,4,0,-19.798097610473633,55.98209762573242,1,12.0,60.0,4,0,3,False
330,-37.428741455078125,120.89723205566406,1,41.290000915527344,55.099998474121094,4,0,-30.575349807739258,21.062091827392578,1,12.0,60.0,4,0,3,False
345,-40.57493591308594,138.73690795898438,1,41.290000915527344,56.149993896484375,4,0,-39.161346435546875,25.000099182128906,1,12.0,60.0,4,0,3,False
