frame,p1_post_positionX,p1_post_positionY,p1_post_facingDirection,p1_post_percent,p1_post_shieldSize,p1_post_stocksRemaining,p1_post_lCancelStatus,p2_post_positionX,p2_post_positionY,p2_post_facingDirection,p2_post_percent,p2_post_shieldSize,p2_post_stocksRemaining,p2_post_lCancelStatus,stageId,winner
60,-5.6630635261535645,2.244091033935547,-1,5.730000019073486,60.0,4,0,15.654266357421875,3.6800999641418457,1,0.0,60.0,4,0,31,False
120,-5.923899173736572,3.1361000537872314,1,5.730000019073486,60.0,4,0,26.270681381225586,9.999999747378752e-05,-1,0.0,60.0,4,0,31,False
180,-31.359272003173828,9.999999747378752e-05,1,5.730000019073486,59.720001220703125,4,0,9.967476844787598,28.9800968170166,-1,0.0,60.0,4,0,31,False
240,-6.37232780456543,8.876097679138184,1,8.220000267028809,60.0,4,0,45.510108947753906,9.360099792480469,-1,0.0,60.0,4,0,31,False
300,25.71879005432129,9.999999747378752e-05,1,10.5,54.470008850097656,4,0,-8.796394348144531,7.350099086761475,-1,0.0,60.0,4,0,31,False
360,16.512588500976562,15.477787017822266,-1,19.5,58.66999053955078,4,0,6.127076148986816,9.999999747378752e-05,1,0.0,60.0,4,0,31,False
420,24.615991592407227,11.008098602294922,-1,19.5,59.37000274658203,4,0,4.596454620361328,9.999999747378752e-05,-1,0.0,60.0,4,0,31,False
480,2.8319802284240723,30.08714485168457,-1,21.5,60.0,4,0,-1.3644362688064575,9.999999747378752e-05,1,0.0,60.0,4,0,31,False
540,52.65321350097656,63.1019401550293,-1,41.959999084472656,60.0,4,0,11.565814018249512,54.28010559082031,1,0.0,60.0,4,0,31,False
600,16.571996688842773,1.908097743988037,-1,41.959999084472656,60.0,4,0,-21.995689392089844,85.68009948730469,1,0.0,60.0,4,0,31,False
660,22.07461929321289,9.999999747378752e-05,1,41.959999084472656,60.0,4,0,-18.612205505371094,20.270103454589844,1,0.0,60.0,4,0,31,False
720,-33.54520034790039,20.73609733581543,-1,41.959999084472656,60.0,4,0,-24.5733585357666,9.999999747378752e-05,1,12.0,60.0,4,0,31,False
780,-37.05863571166992,8.61009693145752,1,41.959999084472656,60.0,4,0,-10.109493255615234,9.999999747378752e-05,1,12.0,60.0,4,0,31,False
840,-38.81899642944336,13.220983505249023,1,53.119998931884766,60.0,4,0,-23.320905685424805,9.999999747378752e-05,-1,12.0,60.0,4,0,31,False
900,-130.14547729492188,-19.681995391845703,1,58.119998931884766,60.0,4,0,-53.86912536621094,22.71010398864746,1,12.0,60.0,4,0,31,False
960,-81.33167266845703,-21.170589447021484,1,58.119998931884766,60.0,4,0,-29.423229217529297,9.999999747378752e-05,1,12.0,60.0,4,0,31,False
1020,-73.93011474609375,-8.486319541931152,1,58.119998931884766,60.0,4,0,-29.99500846862793,9.999999747378752e-05,-1,12.0,60.0,4,0,31,False
1080,-68.06482696533203,23.725778579711914,1,58.119998931884766,60.0,4,0,-42.437782287597656,12.09210205078125,1,12.0,60.0,4,0,31,False
1140,-18.951717376708984,9.999999747378752e-05,-1,61.119998931884766,60.0,4,0,-33.8996696472168,9.999999747378752e-05,1,12.0,60.0,4,0,31,False
1200,-27.084314346313477,77.8801040649414,-1,79.1199951171875,59.44000244140625,4,0,-13.420422554016113,9.999999747378752e-05,1,12.0,60.0,4,0,31,False
1260,-2.950988292694092,145.19723510742188,-1,79.1199951171875,60.0,4,0,-4.729170799255371,54.40010070800781,-1,12.0,60.0,4,0,31,False
1320,-4.739738464355469,70.491455078125,-1,79.1199951171875,60.0,4,0,1.084333062171936,54.40010070800781,1,12.0,60.0,4,0,31,False
1380,-12.0,125.73330688476562,1,0.0,60.0,3,0,5.861652374267578,51.75639724731445,-1,12.0,60.0,4,0,31,False
1440,-1.0293749570846558,72.89600372314453,1,0.0,60.0,3,0,-19.60586166381836,13.340100288391113,-1,12.0,60.0,4,0,31,False
1500,-0.396022766828537,54.40010070800781,1,0.0,60.0,3,0,-46.067298889160156,9.999999747378752e-05,1,12.0,60.0,4,0,31,False
1560,-35.18000030517578,8.234116554260254,-1,0.0,60.0,3,0,-27.685134887695312,9.999999747378752e-05,1,25.0,60.0,4,0,31,False
1620,-11.252616882324219,9.999999747378752e-05,1,0.0,60.0,3,0,5.914863586425781,9.999999747378752e-05,1,25.0,60.0,4,0,31,False
1680,58.38958740234375,22.83609390258789,1,0.0,60.0,3,0,43.35293197631836,9.999999747378752e-05,-1,25.0,60.0,4,0,31,False
1740,35.6612663269043,20.896099090576172,-1,0.0,59.650001525878906,3,0,-15.864059448242188,28.9800968170166,1,25.0,60.0,4,0,31,False
1800,3.4003593921661377,26.634098052978516,1,0.0,60.0,3,0,-21.529052734375,10.88010025024414,1,25.0,60.0,4,0,31,False
1860,30.695510864257812,12.596098899841309,1,0.0,60.0,3,0,4.650829792022705,9.999999747378752e-05,1,25.0,60.0,4,0,31,False
1920,19.79348373413086,20.896099090576172,-1,0.0,59.93000030517578,3,0,-5.853795528411865,9.999999747378752e-05,1,25.0,60.0,4,0,31,False
1980,-3.3302669525146484,9.999999747378752e-05,-1,0.0,60.0,3,0,-23.690797805786133,34.61023712158203,1,36.0,56.08001708984375,4,0,31,False
2040,-39.785888671875,32.18809509277344,-1,0.0,60.0,3,0,-57.597190856933594,27.20009994506836,1,36.0,60.0,4,0,31,False
2100,-45.29073715209961,20.909006118774414,-1,8.550000190734863,60.0,3,0,-59.65851974487305,21.346004486083984,1,48.0,60.0,4,0,31,False
2160,-19.690427780151367,7.620099067687988,1,8.550000190734863,60.0,3,0,-81.73117065429688,-25.928556442260742,1,58.91999816894531,60.0,4,0,31,False
2220,-54.621673583984375,8.876097679138184,1,8.550000190734863,60.0,3,0,-63.033512115478516,-74.76786041259766,1,58.91999816894531,60.0,4,0,31,False
2280,-79.07540130615234,-14.738003730773926,1,8.550000190734863,60.0,3,0,-63.71031188964844,-21.13783836364746,1,58.91999816894531,60.0,4,0,31,False
2340,-76.8358154296875,-8.542016983032227,1,8.550000190734863,60.0,3,0,-71.7733154296875,-109.73338317871094,1,58.91999816894531,60.0,3,0,31,False
2400,-48.8432502746582,9.999999747378752e-05,1,8.550000190734863,60.0,3,0,40.0,132.2666473388672,-1,0.0,60.0,3,0,31,False
2460,22.96124839782715,28.39609718322754,1,8.550000190734863,60.0,3,0,39.20749282836914,77.69998931884766,-1,0.0,60.0,3,0,31,False
2520,89.10942077636719,-17.591901779174805,1,8.550000190734863,60.0,3,0,25.64935874938965,10.620100021362305,1,0.0,60.0,3,0,31,False
2580,126.25517272949219,-26.345897674560547,-1,13.550000190734863,60.0,3,0,67.50386047363281,36.97410202026367,-1,0.0,60.0,3,0,31,False
2640,149.42787170410156,-15.798770904541016,1,13.550000190734863,60.0,3,0,50.204742431640625,9.999999747378752e-05,1,0.0,60.0,3,0,31,False
2700,149.10145568847656,7.4018378257751465,1,13.550000190734863,60.0,3,0,47.61935806274414,0.00010013580322265625,1,0.0,60.0,3,0,31,False
2760,114.55615234375,24.65277862548828,-1,18.100000381469727,60.0,3,0,94.60562133789062,24.416099548339844,-1,0.0,60.0,3,0,31,False
2820,137.51048278808594,-25.255565643310547,-1,18.100000381469727,60.0,3,0,56.111114501953125,9.999999747378752e-05,-1,0.0,60.0,3,0,31,False
2880,86.0316390991211,-66.06585693359375,-1,18.100000381469727,60.0,3,0,70.31999969482422,-14.399999618530273,-1,0.0,60.0,3,0,31,False
2940,46.56099319458008,-108.96595764160156,-1,18.100000381469727,60.0,2,0,31.65575408935547,9.999999747378752e-05,-1,0.0,60.0,3,0,31,False
3000,-12.0,109.86662292480469,1,0.0,60.0,2,0,10.239767074584961,9.260101318359375,-1,0.0,60.0,3,0,31,False
3060,19.359622955322266,54.40010070800781,1,0.0,60.0,2,0,-9.362144470214844,9.999999747378752e-05,-1,0.0,60.0,3,0,31,False
3120,-4.734077453613281,24.952112197875977,1,0.0,60.0,2,0,4.280843257904053,9.999999747378752e-05,1,0.0,60.0,3,0,31,False
3180,-9.675331115722656,2.958099842071533,-1,0.0,60.0,2,0,-5.515189170837402,9.999999747378752e-05,1,12.0,60.0,3,0,31,False
3240,-17.112831115722656,9.999999747378752e-05,-1,0.0,60.0,2,0,-6.369992256164551,9.999999747378752e-05,-1,12.0,60.0,3,0,31,False
3300,-17.112831115722656,9.999999747378752e-05,-1,12.600000381469727,60.0,2,0,-6.418904781341553,9.999999747378752e-05,-1,12.0,60.0,3,0,31,False
3360,-17.112831115722656,9.999999747378752e-05,-1,23.100000381469727,60.0,2,0,-6.418904781341553,9.999999747378752e-05,-1,12.0,60.0,3,0,31,False
3420,-17.419496536254883,9.999999747378752e-05,1,35.099998474121094,60.0,2,0,-9.160890579223633,9.999999747378752e-05,1,12.0,60.0,3,0,31,False
3480,-10.540159225463867,9.999999747378752e-05,1,35.099998474121094,60.0,2,0,-0.002512693405151367,9.999999747378752e-05,-1,12.0,60.0,3,0,31,False
3540,-21.041908264160156,19.840099334716797,1,35.099998474121094,54.96002197265625,2,0,-41.761253356933594,9.999999747378752e-05,1,12.0,60.0,3,0,31,False
3600,18.26283836364746,14.259474754333496,-1,45.099998474121094,59.160003662109375,2,0,-1.273125410079956,9.999999747378752e-05,1,12.0,60.0,3,0,31,False
3660,39.82313919067383,71.32971954345703,-1,60.099998474121094,60.0,2,0,4.834503650665283,54.28010559082031,1,12.0,60.0,3,0,31,False
3720,39.99321746826172,27.20009994506836,-1,60.099998474121094,60.0,2,0,-28.260597229003906,39.74009323120117,1,12.0,60.0,3,0,31,False
3780,-10.349843978881836,21.058094024658203,-1,60.099998474121094,60.0,2,0,-3.6085939407348633,9.999999747378752e-05,1,12.0,60.0,3,0,31,False
3840,-4.765343189239502,1.7660807371139526,1,60.099998474121094,60.0,2,0,2.3492465019226074,-2.278079032897949,-1,21.0,60.0,3,0,31,False
3900,-9.969094276428223,9.856099128723145,1,60.099998474121094,60.0,2,0,-14.068603515625,34.76693344116211,-1,32.0,60.0,3,0,31,False
3960,-17.6364688873291,22.090085983276367,-1,60.099998474121094,60.0,2,0,135.082763671875,148.1336212158203,-1,60.0,60.0,3,0,31,False
4020,-17.6364688873291,9.999999747378752e-05,-1,60.099998474121094,60.0,2,0,226.3506622314453,195.3528594970703,-1,60.0,60.0,2,0,31,False
4080,-17.6364688873291,9.999999747378752e-05,-1,60.099998474121094,60.0,2,0,40.0,105.199951171875,-1,0.0,60.0,2,0,31,False
4140,-17.6364688873291,9.999999747378752e-05,-1,60.099998474121094,60.0,2,0,24.360013961791992,9.999999747378752e-05,-1,0.0,60.0,2,0,31,False
4200,-88.90464782714844,107.68648529052734,1,79.09117126464844,60.0,2,0,-13.14123821258545,9.999999747378752e-05,-1,0.0,60.0,2,0,31,False
4260,-171.11485290527344,200.96229553222656,1,79.09117126464844,60.0,2,0,6.546634674072266,54.40010070800781,1,0.0,60.0,2,0,31,False
4320,-106.57305908203125,136.61981201171875,1,80.09117126464844,60.0,2,0,37.7259521484375,43.30010223388672,-1,0.0,60.0,2,0,31,False
4380,-31.717952728271484,40.61986541748047,1,86.82117462158203,60.0,2,0,31.397201538085938,27.20009994506836,-1,0.0,60.0,2,0,31,False
4440,0.669371485710144,32.66609573364258,1,86.82117462158203,60.0,2,0,21.362117767333984,9.999999747378752e-05,-1,0.0,60.0,2,0,31,False
4500,13.307247161865234,19.456098556518555,1,86.82117462158203,60.0,2,0,21.385034561157227,17.30544662475586,-1,15.020000457763672,60.0,2,0,31,False
4560,24.852991104125977,9.999999747378752e-05,1,86.82117462158203,46.84000778198242,2,0,3.7434422969818115,9.999999747378752e-05,1,15.020000457763672,60.0,2,0,31,False
